year,country,impact
1987,IRL,0.01869882566734423
1987,IDN,0.018313947720470784
1987,IND,0.005971684684341668
1987,TUR,0.009087366360576514
1987,THA,0.00866594205122413
1988,USA,0.07576491850741139
1988,DEU,0.06210382077085497
1988,JPN,0.0619013763623722
1988,GBR,0.047990282316441625
1988,FRA,0.047977014768301
1988,ITA,0.04333854187559557
1988,CAN,0.06374209875869231
1988,NLD,0.042794541832888576
1988,HKG,0.031154493408456226
1988,CHE,0.0330995292252357
1988,KOR,0.03576631183764209
1988,CHN,0.02684427234643516
1988,ESP,0.022775352003791854
1988,SWE,0.023234682169833133
1988,SGP,0.023469216401956584
1988,AUS,0.022477106152406095
1988,AUT,0.03244751743189655
1988,MEX,0.036139430681961855
1988,DNK,0.018150223608251616
1988,BRA,0.02068694452106879
1988,SAU,0.01557481588552036
1988,TWN,0.021243376191248924
1988,NOR,0.012644865111149746
1988,MYS,0.011738576013561531
1988,FIN,0.01020516214472771
1988,IRL,0.01951793304777365
1988,THA,0.01302186962208198
1988,IDN,0.017764702821998206
1988,IND,0.008279131239137032
1988,PRT,0.006248328319040768
1989,USA,0.07485459339770137
1989,DEU,0.060163139871581915
1989,JPN,0.061340721411333246
1989,FRA,0.04689046569968248
1989,GBR,0.047394060040997416
1989,ITA,0.04208896658489381
1989,CAN,0.06297176031060582
1989,NLD,0.041153272127779944
1989,HKG,0.032295090652083996
1989,CHE,0.031592560830954824
1989,KOR,0.03478496653807577
1989,ESP,0.023192848833772158
1989,CHN,0.025510760579353513
1989,SWE,0.022428745210202532
1989,SGP,0.024611092971713724
1989,AUS,0.022908949312763445
1989,AUT,0.03117114538605823
1989,MEX,0.037781182494918644
1989,SAU,0.016938377760196976
1989,BRA,0.019234942189580512
1989,DNK,0.01698742622595673
1989,TWN,0.02093561131558274
1989,MYS,0.013121306566589382
1989,NOR,0.013307526192672265
1989,THA,0.015482133869013905
1989,FIN,0.010333474156093524
1989,IRL,0.01927143348147288
1989,IND,0.010947968076583705
1989,IDN,0.01816655526442446
1989,PRT,0.006983734772143469
1990,USA,0.07225660650456182
1990,DEU,0.06221271809278751
1990,JPN,0.058092687483039786
1990,FRA,0.04887166713225984
1990,GBR,0.04795418360496942
1990,ITA,0.04414009762220566
1990,CAN,0.061181758351879036
1990,NLD,0.043088867140180016
1990,HKG,0.03131005481692777
1990,CHE,0.03318643760409091
1990,ESP,0.025367602573030647
1990,KOR,0.03252246812015441
1990,CHN,0.024448910763673483
1990,SGP,0.02376442785786809
1990,SWE,0.02243876574236016
1990,AUT,0.03339518705217504
1990,AUS,0.020485554257369382
1990,SAU,0.019194301990564554
1990,MEX,0.03767980589577705
1990,DNK,0.01824050581670138
1990,NOR,0.014350103101544255
1990,MYS,0.013976040622198418
1990,THA,0.016789776467703917
1990,BRA,0.017221400109820262
1990,TWN,0.018973103725945996
1990,FIN,0.010817482943436747
1990,IDN,0.01941483902136264
1990,IRL,0.019834437452668247
1990,PRT,0.008380855702611593
1990,IND,0.006180596036803628
1991,USA,0.07329822965905036
1991,DEU,0.06251072852263694
1991,JPN,0.05891933273903586
1991,FRA,0.04891501366048053
1991,GBR,0.0464965903344553
1991,ITA,0.04412590853177638
1991,CAN,0.061753054968402166
1991,NLD,0.043458072220367246
1991,HKG,0.03397239126696276
1991,KOR,0.03279196471843672
1991,ESP,0.027575289818844294
1991,CHN,0.02750856128953587
1991,CHE,0.03259994878120955
1991,SGP,0.024541754412265332
1991,SWE,0.02108939680673813
1991,MEX,0.04373997938291524
1991,AUT,0.03368775201392103
1991,SAU,0.02138809367482427
1991,AUS,0.020872701977287918
1991,MYS,0.017186870661874878
1991,DNK,0.01898136146282454
1991,THA,0.01787095911523998
1991,TWN,0.020981630740439964
1991,NOR,0.013027466886078875
1991,BRA,0.016576775637902576
1991,IDN,0.0194637037405174
1991,IRL,0.018836850781431796
1991,PRT,0.010097473561121145
1991,FIN,0.009118971521214136
1991,ARE,0.014977667697818412
1992,USA,0.07034175850828624
1992,DEU,0.05948925610930067
1992,JPN,0.05605004554766184
1992,FRA,0.04675790510394378
1992,GBR,0.044841053488511994
1992,ITA,0.04226110819453382
1992,NLD,0.04154086142645142
1992,CAN,0.05956448409828106
1992,HKG,0.03561358833724846
1992,CHN,0.029778357152437637
1992,ESP,0.027156381003143278
1992,KOR,0.030057352062541055
1992,CHE,0.03114805495216897
1992,SGP,0.0249434417222246
1992,MEX,0.04382521971665155
1992,SWE,0.020188376350488237
1992,AUT,0.03303300280438442
1992,SAU,0.02063128752057861
1992,AUS,0.01966597803865382
1992,MYS,0.01671939627944677
1992,DNK,0.020119599715902867
1992,TWN,0.02186600453665394
1992,THA,0.01824581716511431
1992,NOR,0.013059616451473601
1992,IDN,0.018462518776268585
1992,BRA,0.01615296998089
1992,RUS,0.006918423926339975
1992,IRL,0.01928369647546937
1992,PRT,0.010267394268433
1992,FIN,0.009193921960316319
1993,USA,0.06894512517972604
1993,DEU,0.05140121429635249
1993,JPN,0.05535217830268171
1993,FRA,0.04001856024459989
1993,GBR,0.04156643249890646
1993,ITA,0.03536392642431669
1993,CAN,0.05889893530981466
1993,NLD,0.03565671202644794
1993,HKG,0.03513726753898233
1993,CHN,0.030373778047685433
1993,KOR,0.029089428305408192
1993,SGP,0.026243750052034456
1993,ESP,0.022071873670640174
1993,CHE,0.027770770847055943
1993,MEX,0.04326388233441188
1993,MYS,0.01916070256115425
1993,AUT,0.028988357467276498
1993,SWE,0.016921073020394473
1993,AUS,0.01943844199013335
1993,SAU,0.016762109228318625
1993,THA,0.01961035510254395
1993,RUS,0.014230808325135574
1993,TWN,0.021852147792194233
1993,BRA,0.016960965787730875
1993,IDN,0.018627528932472385
1993,DNK,0.016821233372683528
1993,NOR,0.011627663826253035
1993,IRL,0.017164885043493117
1993,IND,0.008133050888970105
1993,TUR,0.010700118002530895
1994,USA,0.06895874012679408
1994,DEU,0.05131849175170995
1994,JPN,0.05504870674092241
1994,FRA,0.04019861851475802
1994,GBR,0.04117976765367281
1994,ITA,0.03536842838759805
1994,CAN,0.059045021276238056
1994,HKG,0.03542638968698987
1994,NLD,0.03572681030563249
1994,CHN,0.03154110789142593
1994,SGP,0.026927581195819127
1994,KOR,0.029719843136043814
1994,ESP,0.022244045510225754
1994,CHE,0.02770558366176747
1994,MEX,0.04418305586626347
1994,MYS,0.02071154962017136
1994,RUS,0.0135531193885566
1994,SWE,0.017568936682441125
1994,AUT,0.028448193269469256
1994,AUS,0.019211992079919596
1994,THA,0.020314721837862808
1994,TWN,0.02106263583059732
1994,BRA,0.01780432253213403
1994,SAU,0.015013573080719394
1994,DNK,0.016652155870845932
1994,IDN,0.01798040659126549
1994,NOR,0.010754229064842503
1994,IRL,0.017072215151548574
1994,FIN,0.007738557438455183
1994,IND,0.007373716557649355
1995,USA,0.06728962506896895
1995,DEU,0.05209937248761952
1995,JPN,0.05382008371737012
1995,FRA,0.04091823415640852
1995,GBR,0.040589886260115955
1995,ITA,0.03623307537877972
1995,CAN,0.057804218368172657
1995,NLD,0.03633200543065093
1995,HKG,0.034514144699783485
